Council District,Pop2010,White_pop,Black_pop,Ameri_es_pop,Asian_pop,Hawn_pi_pop,Hispanic_pop,Other_pop,Multi_pop,Male_pop,Female_pop,Age_under5Ê,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85_up,Median_age,Med_age_male,Med_age_female,Households,Avg_hh_size,HouseholdsHsehld_1_m,Hsehld_1_f,Marhh_chd,Marhh_no_c,Mhh_child,Fhh_child,Families,Avg_family_size,Housing_units,Vacant,Owner_occ,Renter_occ
1 - Gilbert Cedillo,245216.22,90857,7759.13,2991.73,43397.31,243.41,172971.55,88016.11,11951.53,125733.82,119482.4,17684.82,15825.97,16274.35,18528.22,22124.94,43690.39,36967.18,29490.28,21779.51,12261.12,7507.17,3082.27,23.8,23.23,24.46,79014.81,2.29,9919.21,9326.98,17472.38,12582.79,3923.03,8697.64,51391.85,2.68,85219.33,6204.52,15219.58,63795.23
10 - Herb J. Wesson Jr.,261297.85,68458.12,67087.07,2307.88,43148.34,308.11,126872.43,68188.27,11800.07,127383.22,133914.63,17464.54,15872.99,16002.86,17760.48,20202.21,45774.95,40715.42,35563.92,25890.49,14316.31,8077.55,3656.14,26.7,25.47,27.8,95915.92,2.05,13147.03,16341.94,17301.48,14284.08,3736.82,10927.24,57677.78,2.52,103637.46,7721.54,21764.3,74151.62
11 - Mike Bonin,250726.93,174020.7,13569.6,1214.43,30132.14,521.02,47243.32,18894.8,12374.24,122850.8,127876.13,12912.21,10819.57,10293.89,12293.09,18079.32,47888.78,41225.72,34581.38,29208.43,17584.13,10585.69,5254.73,28.67,28.41,28.99,113864.22,1.61,19434.85,22484.17,17305.63,24708.3,1874.2,4632.45,55447.15,2.07,123048.13,9183.91,50753.74,63110.49
12 - Mitchell Englander,258715.95,158939.64,11239.45,1193.56,46815.27,374.43,70827.63,27943.83,12209.77,126366.09,132349.86,12795.71,14149.84,16409.15,20221.5,19350.71,30225.42,34815.25,40495.71,33019.38,19200.82,12678.59,5353.88,33.28,32.21,34.14,86732.07,2.44,7206.04,9337.5,22493.92,26040.98,2137.22,5223.44,63921.59,2.72,90415.8,3683.73,60274.21,26457.86
13 - Mitch O'Farrell,247142.04,113391.23,9109.58,2320.07,43740.54,315.72,133038.67,66020.53,12244.39,126882.12,120259.92,13604.88,12094.61,13019.49,15804.39,21508.48,50084.22,40330.45,32614.28,23706.25,13312.35,8003.2,3059.46,25.73,25.2,26.39,94906.83,1.93,17101.47,15325.45,15096.73,14479.35,3100.5,7569.9,49457.04,2.48,102632.78,7725.95,13638.56,81268.27
14 - Jose Huizar,248489.1,113548.42,15693.05,2816.77,31591.55,243.26,167529.97,74188.21,10407.84,131007.64,117481.46,15760.04,14554.61,15486.53,19163.25,20876.63,42347.84,37758.89,32322.09,23764.88,13627.96,8980.92,3845.47,24.12,23.46,24.78,79205.66,2.23,13910.6,11292.14,16047.25,13208,3017.05,7495.71,47273.89,2.6,85992.89,6787.23,26212.29,52993.37
15 - Joe Buscaino,251283.55,108150.7,32853.03,2213.4,16305.7,1372.82,156217.43,77268.88,13119.01,124039.2,127244.35,20951.05,20139.92,20021.08,21246.99,19161.49,36642.44,35214.92,32324.88,22801.99,12505.67,7363.79,2909.33,21.89,21.17,22.6,76426.3,2.27,7797,8477.11,19513.33,13730.91,3716.83,11151.98,55863.03,2.55,81562.44,5136.14,31668.19,44758.11
2 - Paul Krekorian,256691.84,158999.91,11463.05,1526.06,17554.92,330.51,115511.82,54814.59,12002.8,128140.11,128551.73,16368.36,14641.58,15090.27,16664.84,19976.89,46189,40854.66,35978.13,26225.61,13205.59,7867.6,3629.32,26.76,26.23,27.29,94798.61,2.14,13381.42,14497.72,19249.41,17423.32,3124.5,7409.1,55314.34,2.57,101135.77,6337.16,33612.25,61186.36
3 - Bob Blumenfield,257183.29,155558.89,11669.04,1430.11,30404.92,324.33,95591.32,44526.13,13269.87,127155.91,130027.38,16399.49,15840.21,16111.95,17034.43,17736.08,38862.54,38285.74,37017.52,28210.38,15537.41,10709.81,5437.74,30.76,29.75,31.71,89478.86,2.38,9855.75,11731.76,21684.98,21069.27,2985.33,6800.72,60784.85,2.74,95650.77,6171.92,46723.56,42755.29
4 - David Ryu,244117.22,169640.22,12524.23,730.64,36798.67,225.96,36760.9,14169.79,10027.72,122079.73,122037.49,11662.77,9700.75,8469.77,8369.82,15367.26,53093.24,45435.78,35228.04,27137.15,15193.33,9422.17,5037.14,24.4,24.31,24.45,120990.09,1.3,24642.9,25920.78,15361.81,21752.67,1844.77,4538.83,50875.22,1.75,130367.28,9377.2,42201.31,78788.78
5 - Paul Koretz,252453.38,182957.52,9822.6,675.02,36015.76,271.29,27548.05,10586.29,12124.89,121416.86,131036.52,12378.54,10419.69,9387.91,15191.39,27566.68,47034.52,36371.45,30079.33,27178.68,17181.84,12134.48,7528.85,27.78,27.39,28.19,112607.59,1.54,18770.28,24057.98,16782.41,23726.61,1320.25,3365.03,51937.06,2.02,121480.65,8873.06,45501.5,67106.09
6 - Nury Martinez,262111.74,123621.41,9843.61,2163.88,25023.59,321.65,183836.62,89037.14,12100.46,132402.48,129709.26,20967.09,19062.39,19861.52,21526.34,21900.29,43166.35,39528.46,33564.51,22435.64,11045.29,6287.59,2766.26,24.31,23.64,25.04,72676.94,2.74,6382.93,6290.65,21839.46,12699.56,4086.03,8670.31,54848.39,2.97,77003.13,4326.18,28518,44158.94
7 - Monica Rodriguez,256172.52,134061.58,10153.12,2312.73,15486.86,280,176836.41,83016.03,10862.2,127896.95,128275.57,19195.84,18705.85,19650.27,21673.48,20085.32,37674.52,35872.67,34499.54,24788.26,13347.86,7536.19,3142.71,25.29,24.55,26.1,67871.36,2.88,4860.45,5525.02,21566.59,14895.57,3410.85,7206.53,53839.42,3.04,71789.92,3918.56,41840.31,26031.06
8 - Marqueece Harris-Dawson,245838.53,52123.8,102438.74,1766.78,3411.15,281.94,133317.31,75577.68,10238.44,117482.91,128355.63,19311.2,18431.21,19735.41,21688.99,21922.65,35295.45,32794.64,32120.38,21850.82,12721.98,7340.05,2625.76,22.38,21.03,23.62,73019.32,2.36,7021.9,9711.88,15572.44,9072.05,3761.14,13819.11,52173.37,2.69,78616.99,5597.67,28660.95,44358.36
9 - Curren D. Price Jr.,248693.15,79473.84,39195.97,2512.9,6279,153.94,193825.58,110494.26,10583.24,124939.42,123753.73,23426.84,21051.13,21366.75,26893.84,28258.6,39835.59,33276.56,26250.3,15501.56,7435.04,3863.89,1533.06,20.74,20.29,21.26,57739.17,3.22,4332.16,4463.43,18101.87,5983.85,4149.33,10710.83,44947.25,3.39,62340.51,4601.34,15558.41,42180.76
