DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
100100811,4/16/2010 0:00,4/16/2010 0:00,510,1,Central,154,1,110,CRIMINAL HOMICIDE,1100,41,M,B,102,SIDEWALK,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,,,500 S  LOS ANGELES                  ST,,34.0461,-118.2476
100101605,11/15/2010 0:00,11/14/2010 0:00,1245,1,Central,157,1,110,CRIMINAL HOMICIDE,0416 1218,48,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,500    CROCKER                      ST,,34.0435,-118.2427
100104269,1/5/2010 0:00,1/5/2010 0:00,1030,1,Central,138,1,110,CRIMINAL HOMICIDE,411,74,F,A,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110,,,,400 E  4TH                          ST,,34.0458,-118.243
100110330,5/5/2010 0:00,1/15/2010 0:00,1200,1,Central,134,1,110,CRIMINAL HOMICIDE,0400 0411,65,M,W,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,110,,,,300 S  HILL                         ST,,34.0517,-118.2491
100112967,6/24/2010 0:00,6/24/2010 0:00,2000,1,Central,166,1,110,CRIMINAL HOMICIDE,0416 0429 1218,62,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,7TH                          ST,SAN JULIAN,34.0407,-118.2468
100114135,7/19/2010 0:00,7/19/2010 0:00,30,1,Central,155,1,110,CRIMINAL HOMICIDE,1100,35,M,B,101,STREET,102,HAND GUN,AO,Adult Other,110,,,,MAPLE                        AV,6TH                          ST,34.0439,-118.2479
100116102,8/25/2010 0:00,8/25/2010 0:00,1645,1,Central,166,1,110,CRIMINAL HOMICIDE,416,38,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,7TH                          ST,SAN JULIAN,34.0407,-118.2468
100121447,12/12/2010 0:00,12/12/2010 0:00,1150,1,Central,185,1,110,CRIMINAL HOMICIDE,,40,F,W,,,,,AA,Adult Arrest,110,,,,200 W  OLYMPIC                      BL,,34.0409,-118.2574
100200692,8/16/2010 0:00,8/15/2010 0:00,1155,2,Rampart,216,1,110,CRIMINAL HOMICIDE,0430 1100 1402,32,M,H,101,STREET,101,REVOLVER,IC,Invest Cont,110,998,,,SUNSET                       BL,ROSEMONT,34.0779,-118.266
100206715,1/25/2010 0:00,1/25/2010 0:00,900,2,Rampart,257,1,110,CRIMINAL HOMICIDE,0416 0429 1206 1817,26,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110,,,,WITMER                       ST,WILSHIRE                     BL,34.0538,-118.2667
100207577,3/6/2010 0:00,3/6/2010 0:00,200,2,Rampart,266,1,110,CRIMINAL HOMICIDE,0430 0906 1100,21,M,B,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,800 S  UNION                        AV,,34.0523,-118.2722
100208053,3/14/2010 0:00,3/13/2010 0:00,2248,2,Rampart,289,1,110,CRIMINAL HOMICIDE,0334 0430 0913 1100 1402,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,AA,Adult Arrest,110,998,,,1500 W  12TH                         PL,,34.0447,-118.2747
100208506,3/21/2010 0:00,3/21/2010 0:00,1838,2,Rampart,265,1,110,CRIMINAL HOMICIDE,0430 0432 0906 1100 1407,33,M,H,218,BEAUTY/BARBER SHOP,101,REVOLVER,IC,Invest Cont,110,998,,,700 S  ALVARADO                     ST,,34.0565,-118.2768
100209033,3/30/2010 0:00,3/30/2010 0:00,2100,2,Rampart,233,1,110,CRIMINAL HOMICIDE,0342 0430 1100,23,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110,,,,200 S  RAMPART                      BL,,34.0685,-118.2775
100209151,4/1/2010 0:00,4/1/2010 0:00,710,2,Rampart,251,1,110,CRIMINAL HOMICIDE,1501,0,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,300 S  RAMPART                      BL,,34.0663,-118.2789
